lat,lon,country
47.79,-113.73,United States
35.65,-117.57,United States
37.25,-121.64,United States
35.81,-117.54,United States
60.01,-153.07,United States
33.38,-116.41,United States
60.62,-152.04,United States
19.34,-155.48,United States
-5.91,146.6,Papua New Guinea
53.94,-166.56,United States
51.9,-177.26,United States
58.76,-155.23,United States
31.48,-103.92,United States
58.25,-155.14,United States
58.27,-155.14,United States
52.37,-174.2,United States
60.01,-153.08,United States
38.81,-122.74,United States
51.92,-177.19,United States
60.9,-147.6,United States
52.08,-176.12,United States
35.75,-118.48,United States
45.32,-121.68,United States
61.26,-152.2,United States
62.2,-153.29,United States
60.27,-151.0,United States
35.69,-117.54,United States
33.51,-117.12,United States
10.43,121.87,Philippines
63.16,-150.5,United States
46.22,-122.19,United States
60.91,-147.63,United States
33.23,-116.74,United States
36.28,-95.22,United States
38.53,-122.61,United States
61.6,-154.1,United States
33.23,-116.29,United States
36.77,-115.51,United States
61.31,-152.25,United States
35.88,-117.7,United States
33.74,-116.97,United States
64.61,-148.06,United States
60.6,-147.97,United States
34.15,-117.74,United States
33.48,-116.58,United States
62.47,-149.3,United States
40.03,-111.87,United States
31.52,-103.88,United States
51.86,-178.16,United States
61.58,-146.45,United States
32.43,-102.13,United States
36.95,-121.44,United States
34.02,-116.69,United States
32.44,-102.06,United States
61.96,-151.28,United States
53.9,-166.74,United States
53.95,-166.55,United States
53.94,-166.55,United States
61.72,-150.49,United States
33.53,-116.72,United States
42.65,-106.97,United States
18.27,-66.39,United States
32.08,-102.21,United States
36.78,71.06,Afghanistan
35.31,-118.56,United States
60.02,-153.12,United States
33.19,-115.6,United States
53.89,-166.74,United States
60.38,-143.13,United States
61.31,-152.44,United States
53.95,-166.54,United States
34.51,-119.72,United States
46.87,-121.76,United States
61.31,-152.26,United States
56.94,-157.78,United States
44.6,-110.32,United States
38.14,-122.45,United States
44.75,-111.13,United States
61.22,-147.57,United States
33.78,-116.13,United States
34.3,-118.41,United States
35.54,-118.47,United States
64.85,-147.38,United States
64.86,-147.34,United States
17.99,-66.98,United States
63.2,-150.51,United States
52.09,-176.2,United States
34.48,-118.97,United States
32.16,-102.19,United States
23.96,120.75,Taiwan
-23.0,-69.25,Chile
37.79,-113.17,United States
61.68,-150.93,United States
39.59,-111.27,United States
61.35,-152.34,United States
40.82,-74.56,United States
32.47,-115.56,Mexico
38.8,-122.79,United States
61.99,-149.29,United States
60.89,-150.62,United States
33.42,-117.0,United States
36.04,-121.24,United States
-20.05,-70.19,Chile
31.66,-104.23,United States
33.16,-116.44,United States
66.22,-157.36,United States
32.11,-101.94,United States
37.88,-122.2,United States
58.18,-155.35,United States
58.18,-155.39,United States
46.86,-121.76,United States
36.09,-117.85,United States
35.67,-117.49,United States
38.78,-122.73,United States
37.17,-121.55,United States
34.09,-116.81,United States
53.84,-166.46,United States
53.93,-166.56,United States
18.05,-68.01,United States
33.1,-117.36,United States
61.34,-152.34,United States
40.35,-111.91,United States
63.49,-149.31,United States
36.01,-117.8,United States
44.35,-115.03,United States
39.04,-109.22,United States
61.05,-152.34,United States
19.34,-155.11,United States
38.72,-117.95,United States
32.15,-101.79,United States
-6.7,127.83,Indonesia
33.33,-116.68,United States
61.32,-152.16,United States
33.96,-118.4,United States
36.08,-117.62,United States
55.06,-162.11,United States
53.96,-166.54,United States
64.65,-149.4,United States
18.26,-66.34,United States
54.13,-165.98,United States
40.66,73.34,Kyrgyzstan
61.35,-152.33,United States
32.45,-102.07,United States
-33.22,-70.1,Chile
60.17,-151.88,United States
38.76,-122.71,United States
19.42,-155.27,United States
61.95,-151.16,United States
37.37,-121.74,United States
62.82,-148.32,United States
61.33,-152.49,United States
0.05,123.2,Indonesia
-18.97,-69.61,Chile
51.47,-176.76,United States
51.62,-178.77,United States
61.31,-152.43,United States
61.31,-147.0,United States
34.22,-118.65,United States
61.92,-147.67,United States
33.48,-116.55,United States
32.66,-115.74,United States
62.4,-151.09,United States
60.04,-153.07,United States
59.91,-152.32,United States
61.16,-151.16,United States
28.8,-98.92,United States
44.75,-110.94,United States
60.48,-152.65,United States
63.47,-148.8,United States
60.04,-153.1,United States
-23.83,-68.37,Chile
60.02,-153.15,United States
47.52,-122.89,United States
60.02,-153.1,United States
61.99,-150.84,United States
18.02,-66.81,United States
36.47,-121.09,United States
39.16,-119.05,United States
-19.58,-68.96,Chile
31.67,-104.43,United States
65.14,-148.79,United States
31.66,-104.47,United States
63.66,-147.62,United States
61.24,-152.55,United States
60.97,-146.89,United States
31.04,-103.14,United States
55.92,-158.28,United States
-8.77,124.3,Indonesia
36.05,-117.99,United States
38.67,-123.14,United States
32.97,-116.35,United States
17.95,-66.92,United States
61.25,-152.12,United States
60.01,-153.11,United States
61.05,-151.69,United States
18.02,-66.7,United States
36.41,-120.36,United States
31.66,-104.18,United States
37.57,72.19,Tajikistan
58.23,-155.11,United States
37.93,-122.31,United States
54.6,-159.82,United States
41.58,-112.42,United States
32.32,-115.31,Mexico
58.22,-155.06,United States
31.7,-104.36,United States
33.04,-116.59,United States
28.84,-98.94,United States
35.61,-117.58,United States
31.68,-104.39,United States
51.47,-176.71,United States
53.85,-166.53,United States
61.3,-152.23,United States
40.54,-123.57,United States
38.83,-122.76,United States
37.63,-118.79,United States
0.49,-79.35,Ecuador
31.67,-104.38,United States
60.25,-152.69,United States
61.36,-152.26,United States
-4.87,152.38,Papua New Guinea
61.31,-152.23,United States
17.92,-67.02,United States
39.39,-123.58,United States
28.82,-98.96,United States
59.75,-152.03,United States
35.19,-118.22,United States
60.25,-150.77,United States
33.94,-117.14,United States
31.62,-104.13,United States
39.12,22.02,Greece
0.19,121.82,Indonesia
35.46,-120.76,United States
61.06,-147.35,United States
45.32,-112.61,United States
60.06,-153.11,United States
61.29,-152.24,United States
37.6,-117.75,United States
57.15,-157.09,United States
62.63,-148.86,United States
37.35,-121.71,United States
31.67,-104.35,United States
-56.69,-26.95,South Georgia and the South Sandwich Islands
37.34,-121.71,United States
32.43,-102.12,United States
60.42,-152.81,United States
51.96,179.6,United States
33.73,-115.98,United States
60.59,-152.87,United States
-20.22,-69.15,Chile
63.59,-147.23,United States
31.59,-104.34,United States
28.83,-98.93,United States
59.88,-153.29,United States
61.32,-152.5,United States
38.77,-122.71,United States
60.03,-153.04,United States
33.31,-116.24,United States
36.83,-121.29,United States
35.69,-117.55,United States
53.94,-166.57,United States
65.76,-155.22,United States
59.98,-153.05,United States
62.51,-148.35,United States
61.68,-150.76,United States
9.21,126.35,Philippines
61.45,-149.86,United States
46.19,-122.19,United States
38.07,-118.25,United States
61.18,-152.04,United States
36.06,-117.85,United States
46.33,-122.25,United States
38.76,-122.72,United States
28.88,-98.98,United States
61.31,-152.24,United States
62.86,-151.1,United States
60.74,-149.77,United States
38.75,-112.56,United States
34.43,-116.46,United States
33.36,-116.7,United States
31.31,-103.72,United States
19.05,-155.38,United States
33.34,-116.37,United States
61.11,-150.74,United States
33.67,-117.02,United States
63.08,-150.92,United States
36.65,-117.83,United States
39.75,-123.84,United States
36.47,-115.46,United States
32.19,-101.4,United States
