latitude,longitude,acq_date,acq_time,brightness,confidence,frp
31.07971,47.62731,2025-07-22,9,308.84,74,8.51
31.06879,47.61805,2025-07-22,9,310.4,78,10.47
30.48943,50.49259,2025-07-22,9,310.27,78,16.32
30.57691,49.92938,2025-07-22,9,310.18,57,12.95
31.03885,47.27906,2025-07-22,9,343.42,100,61.56
31.03673,47.2911,2025-07-22,9,373.37,100,163.98
30.4041,50.61015,2025-07-22,9,310.64,80,17.22
30.40017,50.62928,2025-07-22,9,313.3,86,22.22
31.0328,47.28445,2025-07-22,9,363.92,100,123.99
31.03074,47.29652,2025-07-22,9,325.74,100,28.16
30.39428,50.6223,2025-07-22,9,317.5,95,32.13
30.87067,47.92394,2025-07-22,9,344.71,100,73.17
30.86833,47.93697,2025-07-22,9,320.4,100,23.79
30.86087,47.92159,2025-07-22,9,326.43,100,33.3
30.85852,47.93462,2025-07-22,9,313.28,85,14.65
30.75568,48.27904,2025-07-22,9,339.19,100,62.37
30.75322,48.29274,2025-07-22,9,328.52,100,38.54
30.88298,47.33092,2025-07-22,9,335.38,100,45.87
30.88086,47.34309,2025-07-22,9,318.19,96,19.36
30.39048,49.86727,2025-07-22,9,320.85,100,30.75
30.82985,47.32563,2025-07-22,9,307.08,68,9.29
30.82775,47.33781,2025-07-22,9,319.13,98,21.74
30.68604,47.33609,2025-07-22,9,312.6,84,13.5
30.61396,47.32655,2025-07-22,9,310.32,77,10.15
30.61183,47.33878,2025-07-22,9,309.87,76,9.76
30.52277,47.61597,2025-07-22,9,313.46,85,15.21
30.58135,47.23038,2025-07-22,9,311.48,81,10.75
30.56414,47.32767,2025-07-22,9,316.75,93,15.25
30.56198,47.33989,2025-07-22,9,310.99,75,8.87
30.56008,47.33261,2025-07-22,9,320.78,100,20.02
30.56918,47.10805,2025-07-22,9,332.76,100,39.61
30.49328,47.31704,2025-07-22,9,312.5,83,11.8
30.40518,47.34208,2025-07-22,9,315.75,91,15.53
30.36309,47.33823,2025-07-22,9,315.89,91,15.5
30.27991,47.35741,2025-07-22,9,309.63,75,8.61
30.2777,47.36977,2025-07-22,9,311.94,82,10.8
30.17443,47.41098,2025-07-22,9,309.93,76,8.91
28.89071,47.99688,2025-07-22,9,309.7,76,10.59
28.88815,48.01086,2025-07-22,9,324.12,100,32.09
28.87794,48.0084,2025-07-22,9,312.58,84,13.97
28.49314,49.72152,2025-07-22,9,334.16,100,74.34
28.66486,36.57557,2025-07-22,11,326.94,100,77.8
28.66274,36.5971,2025-07-22,11,317.69,95,47.37
-24.31142,31.82594,2025-07-22,24,306.72,69,8.3
-24.32598,31.86298,2025-07-22,24,300.09,11,4.59
-25.84549,31.16915,2025-07-22,24,304.48,60,8.81
35.68839,43.87188,2025-07-22,9,323.61,100,21.62
